producer_name,products,county,odm,address_punct_lucru,address_sediu,phone,email,product_urls,scraped_at
ADAM MARIUS „APIS” PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE,Alba,ODM Săsciori,"Strada Valea Morilor, nr. 73, localitatea Zlatna, județul Alba","Strada Valea Morilor, nr. 73, localitatea Zlatna, județul Alba",0740 667 994,adammarius1989@yahoo.com,https://produsmontan.ro/produse_montane/miere-adam-marius-apis-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
AGA NICOLAE FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE DE ZMEUR ȘI MUR | MIERE DE SALCÂM,Bihor,ODM Borod,"Sat Cresuia, nr. 74, comuna Curățele, județul Bihor","Sat Cresuia, nr. 74, comuna Curățele, județul Bihor",0773 958 032,nicolaeaga8@gmail.com,https://produsmontan.ro/produse_montane/miere-de-zmeur-si-mur-aga-nicolae-florin-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-de-salcam-aga-nicolae-florin-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
AGRISIL-ZAB S.R.L.,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunelor Brateș, Catalina, Ghelința, Zăbala și orașului Covasna, județul Covasna","Sat Zăbala, Nr. 621B, Comuna Zăbala, Județul Covasna",0785 559 270,270furtuna.claudiu@yahoo.ro,https://produsmontan.ro/produse_montane/cartofi-agrisil-zab-s-r-l/,2026-03-11T10:37:02.654749
AGRO-ARDEAL S.R.L.,SALAM DE VITĂ,Bistrița Năsăud,ODM Prundu Bârgăului,"Sat Orheiu Bistriței, Nr. 106A, Comuna Cetate, Județul Bistrița Năsăud","Sat Orheiu Bistriței, Nr. 107A, Comuna Cetate, Județul Bistrița Năsăud",0745 625 331,331agro_ardeal@yahoo.com,https://produsmontan.ro/produse_montane/salam-de-vita-agro-ardeal-s-r-l/,2026-03-11T10:37:02.654749
AGROFARM CIUCANI COOPERATIVĂ AGRICOLĂ,CARTOFI,Harghita,ODM Odorheiu Secuiesc,"Terenul agricol din localitatea Sînmartin, Parcela ”Kicsimezo”, Județul Harghita","Sat Ciucani, Nr. 83A, Comuna Sânmartin, Județul Harghita",0747 181 959,959mogyorosforest@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-agrofarm-ciucani-cooperativa-agricola/,2026-03-11T10:37:02.654749
AGURIDĂ GRIGORE,SLOI DE OAIE | PASTRAMĂ DE OAIE | CÂRNĂCIORI DE OAIE,Gorj,ODM Tismana,"Sat Cernădia, Comuna Baia de Fier, Nr. 116, Județul Gorj","Sat Cernădia, Comuna Baia de Fier, Nr. 116, Județul Gorj",0733405098,0733405098ggrig2698@gmail.com,https://produsmontan.ro/produse_montane/sloi-de-oaie-agurida-grigore/ | https://produsmontan.ro/produse_montane/pastrama-de-oaie-agurida-grigore/ | https://produsmontan.ro/produse_montane/carnaciori-de-oaie-agurida-grigore/,2026-03-11T10:37:02.654749
ALBERT ATTILA PERSOANĂ FIZICĂ AUTORIZATĂ,VARZĂ | CARTOFI | CEAPĂ,Covasna,ODM Întorsura Buzăului,"Sat Belani, nr. 91, Comuna Poian, Județul Covasna","Sat Belani, nr. 91, Comuna Poian, Județul Covasna",0748.560.507,0748.560.507csabadezso@yahoo.com,https://produsmontan.ro/produse_montane/varza-albert-attila-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/cartofi-albert-attila-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/ceapa-albert-attila-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
ALBU TOADER,ROȘII | CASTRAVEȚI | PEPENI GALBENI | CĂPȘUNI | VINETE | FASOLE,Vrancea,ODM Vintileasca,"Sat Viișoara, Comuna Vidra, Județul Vrancea","Sat Viișoara, Comuna Vidra, Județul Vrancea",0737 318 242,,https://produsmontan.ro/produse_montane/rosii-albu-toader/ | https://produsmontan.ro/produse_montane/castraveti-albu-toader/ | https://produsmontan.ro/produse_montane/pepeni-galbeni-albu-toader/ | https://produsmontan.ro/produse_montane/capsuni-albu-toader/ | https://produsmontan.ro/produse_montane/vinete-albu-toader/,2026-03-11T10:37:02.654749
ANTON VASILE,"ZMEURĂ DE MUNTE ""LA MOȘIE""",Mureș,ODM Ibănești,"Sat Ibănești-Pădure, Nr. 4B, Comuna Ibănești, Județul Mureș","Sat Ibănești-Pădure, Nr. 4B, Comuna Ibănești, Județul Mureș",0769 913 898,stoicanicoleta24@yahoo.com,https://produsmontan.ro/produse_montane/zmeura-de-munte-la-mosie-anton-vasile/,2026-03-11T10:37:02.654749
APOR ANDRÁS-KEVEND,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Ozun, județul Covasna","Sat Sântionlunca, Nr. 134, Comuna Ozun, Județul Covasna",0743 111 125,125productieagricom@gmail.com,https://produsmontan.ro/produse_montane/cartofi-apor-andras-kevend/,2026-03-11T10:37:02.654749
