tender_id,tender_title,tender_mainCpv,tender_country
e34ca980-92c3-421c-a586-04154aa0eb05,Etude de programmation pour la réalisation d'un centre aquatique.,,FR
e34de5ee-9952-4803-972b-31020483bc23,CONTRATTO DI MANUTENZIONE SISTEMA DI MONITORAGGIO CARDIOLOGIA,,IT
e34fc471-6bf6-4f44-8348-ec57cc5e4e3e,Oprava komunikace ulice Chládkova,45233252,CZ
e351f827-031a-4411-a40a-272331714d51,Nabavka fotokopirnog papira,21125690,HR
e3537f49-92c8-4fc4-a575-9cb643426890,AFFIDAMENTO INCARICO LIBERO PROFESSIONALE DI FISIOTERAPISTA,,IT
e353dbd4-681b-4d21-9ebe-f6ceaffba344,Achat d'espaces publicitaires.,,FR
e355776b-60a9-4a76-bf20-0fbe62782c16,,45410000,DE
e35a9889-831c-4178-98a2-34a4c7580f1a,,75000000,ES
e35b2fd9-40af-433c-a7b6-f25ba1661166,,90911200,ES
e35bd5f9-e8d8-4fc4-9ef1-143e69bac315,Remont budynku mieszkalnego przy ul. Ikara 9 w Warszawie,45453000,PL
e35e9102-8ec5-4d70-9103-9cd29890cc9b,Rammeavtale Renhold Kantine Arbeidstøy Folkehelseinstituttet,90900000,NO
e35f75dd-b2e1-4496-9574-0b4b20654acb,,33171000,ES
e35fdf59-aa11-4008-89ac-e045fa0a2eb3,,79420000,IT
e360a327-879c-40a7-bac5-6199e6d33efd,,98310000,FR
e3616017-31a6-4649-83b0-c88c27550686,"Odbiór, transport i utylizacja odpadów pokonsumpcyjnych, niebezpiecznych i innych niż niebezpieczne z terenu Jednostki Wojskowej 2474 w Białobrzegach.",90500000,PL
e361823d-21e1-4ce2-8607-054442bb3451,FORNITURA DI MEDICAZIONI AVANZATE ESCLUSIVA,,IT
e363778e-95e4-4682-8030-0de677c59266,,,PT
e365f11e-7784-492e-bc70-d9cbaf7b0a16,,45233141,IT
e3666258-1c2a-45fb-8d51-4a1f6b02f71a,"Usługa konserwacji zieleni na nieurządzonych terenach gminnych w Gdańsku,które nie posiadają wyznaczonego administratora Zakres I - Dzielnica Oliwa i Osowa Zakres II - Dzielnica Wrzeszcz Zakres III - Dzielnica Portowa Zakres IV - Dzielnica Śródmieście",77300000,PL
e366bb2a-c9f5-463b-b107-87ee7af410f3,FORNITURA GRUPPO ELETTROGENO CABINA 11,,IT
e368bd68-ac97-43bb-8c91-3b0429d4c86b,,72000000,BE
e36a0dde-3145-4efa-87ca-8362e7103631,PZ Mošnov - zajištění provozování stavebních objektů vnitřních sítí,77314000,CZ
e36a959c-903f-4ff1-83b4-7aedcc7d7212,,79571000,DE
e36abd8f-4c60-44f7-b88f-7baf50e0c185,83 Divers matériel de robinetterie de marque segault ou de diverses marques (ou équivalent) pour le pacdg à Toulon,,FR
