CUI,DENUMIRE,CAEN,JUDET,TELEFON,STARE
45488867,MIKAGRO UTILAJE SERVICES S.R.L.,4661,"JUD. BRĂILA, ORŞ. IANCA, STR. ZORILOR, NR.22",,INREGISTRAT din data 18.01.2022
49746942,MIL PELET MACHINERY S.R.L.,4661,"JUD. BIHOR, SAT TĂUT COM. BATĂR, TĂUT, NR.54",0753792286,INREGISTRAT din data 12.03.2024
37077348,MILAGRO CONCEPT S.R.L.,4661,"JUD. BIHOR, SAT SĂCĂDAT COM. SĂCĂDAT, SĂCĂDAT, NR.446",0771466232,INREGISTRAT din data 21.02.2017
42120460,MILESI MACCHINE S.R.L.,4661,"JUD. OLT, MUN. SLATINA, STR. GAROFIŢEI, NR.8, BL.8AB, SC.B, AP.5",,SUSPENDARE ACTIVITATE din data 19.10.2023
3794798,MIOTI MET S.R.L.,4661,"JUD. BIHOR, MUN. ORADEA, STR. SĂVINEŞTILOR, NR.3 A, BL.3 A, AP.12",0722609744,INREGISTRAT din data 22.04.1993
27432396,MIRA EGI IMPORT - EXPORT SRL,4661,"JUD. CONSTANŢA, SAT VALU LUI TRAIAN COM. VALU LUI TRAIAN, STR. MUJDABA FICHIRET, NR.19, CAM. 2",0722151757,INREGISTRAT din data 27.09.2010
35387091,MIRAGRI EXP SRL,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 2, STR. ARH. IONESCU GRIGORE, NR.63, BL.T73, SC.B, ET.4, AP.42",0737104070,INREGISTRAT din data 08.01.2016
48229310,MIRCOM SOLUTIONS & TRADE S.R.L.,4661,"JUD. IAŞI, SAT MIROSLAVA COM. MIROSLAVA, STR. CONSTANTIN LANGA, NR.68 D",0037368211766,INREGISTRAT din data 25.05.2023
2264505,MIRCOM SRL,4661,"JUD. BRĂILA, MUN. BRĂILA, STR. VICTORIEI, NR.52, BL.10, SC.1, ET.2, AP.9",0239610220,INREGISTRAT din data 27.11.1992
39430127,MISAILESCU CONSTANTIN PERSOANĂ FIZICĂ AUTORIZATĂ,2830,"JUD. VÂLCEA, MUN. RÂMNICU VÂLCEA, STR. GRIGORE PROCOPIU, NR.33, BL.62, SC.B, ET.1, AP.3",,INREGISTRAT din data 31.05.2018
52383618,MOCANU IULIAN-RĂZVAN PERSOANĂ FIZICĂ AUTORIZATĂ,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 4, BLD TINERETULUI, NR.49, BL.58, SC.2, ET.1, AP.41",0724079959,INREGISTRAT din data 26.08.2025
15220020,MOGAPROD SRL,4661,"JUD. TIMIŞ, SAT ŞAG COM. ŞAG, STR. LXXX, NR.9",,SUSPENDARE ACTIVITATE din data 26.06.2024
46452888,MOHARAM SUN - LIGHT IMPORT & EXPORT S.R.L.,4661,"JUD. CONSTANŢA, MUN. CONSTANŢA, STR. THEODOR D. SPERANŢIA, NR.60A",,INREGISTRAT din data 11.07.2022
22090977,MOLD AGRO SERV SRL,4661,"JUD. NEAMŢ, MUN. PIATRA NEAMŢ, STR. 1 DECEMBRIE 1918, NR.49, BL.A7, SC.A, ET.2, AP.11",0723589881,SUSPENDARE ACTIVITATE din data 02.05.2022
28398950,MONA EGYPT SRL,4661,"JUD. SATU MARE, SAT DECEBAL COM. VETIŞ, STR. ARENEI, NR.11",,INREGISTRAT din data 27.04.2011
35128690,MOSAIC PROJECT SRL,4661,"JUD. IAŞI, SAT PĂUN COM. BÂRNOVA, STR. SF. AP. PETRU ŞI PAVEL, NR.28, BL.S1, ET.2, AP.11",,INREGISTRAT din data 15.10.2015
18595424,MOSELI RO SRL,4661,"JUD. CONSTANŢA, ORŞ. NĂVODARI, STR. T2, NR.86",0341415463,INREGISTRAT din data 17.04.2006
43818985,MOTO PROD IMPEX S.R.L.,4661,"JUD. ILFOV, ORŞ. BRAGADIRU, STR. PARFUMULUI, NR.29, TARLA 82/3, PARCELA 14, ETAJ, ÎNCĂPEREA NR. 1",,INREGISTRAT din data 26.02.2021
30859231,MOTOCIP AGRO S.R.L.,4661,"JUD. COVASNA, SAT CHILIENI MUN. SFÂNTU GHEORGHE, CHILIENI, NR.130",0744904045,INREGISTRAT din data 01.11.2012
14788066,MOTOPROF S.R.L.,4661,"JUD. CONSTANŢA, MUN. CONSTANŢA, STR. RETEZAT, NR.33",0241695120,INREGISTRAT din data 31.07.2002
10102490,MOTORCENTER SRL,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 1, SOS. ODAI, NR.33-37",3521801,INREGISTRAT din data 15.01.1998
41295456,MRS UTIL TRENDS S.R.L.,4661,"JUD. BRĂILA, SAT VALEA CÂNEPII COM. UNIREA, STR. MIGDALULUI, NR.17",,INREGISTRAT din data 21.06.2019
43314481,MSV AGRAR SERVICE S.R.L.,4661,"JUD. COVASNA, MUN. SFÂNTU GHEORGHE, STR. PAP LEHEL, NR.4",,INREGISTRAT din data 11.11.2020
44585500,MULTIAGRO STORE S.R.L.,4661,"JUD. SATU MARE, SAT SUPURU DE SUS COM. SUPUR, SUPURU DE SUS, NR.74",,INREGISTRAT din data 13.07.2021
45799880,MULTISPECTRAL AGRICULTURE S.R.L.,4661,"JUD. TELEORMAN, MUN. ROŞIORI DE VEDE, STR. MĂRĂŞTI, NR.22",,SUSPENDARE ACTIVITATE din data 27.03.2024
31045983,MULTITECH-AGRO SRL,4661,"JUD. HARGHITA, SAT JOSENI COM. JOSENI, JOSENI, NR.671",0756168487,INREGISTRAT din data 28.12.2012
42986506,MUMGEP SRL KECSKEMET SUCURSALA ODORHEIU SECUIESC,2830,"JUD. HARGHITA, MUN. ODORHEIU SECUIESC, STR. CÎMPULUI, NR.20",0726720316,INREGISTRAT din data 31.08.2020
15380528,MUNAX SRL,4661,"JUD. TIMIŞ, MUN. TIMIŞOARA, CAL. BUZIAŞULUI, NR.105",0256274388,INREGISTRAT din data 17.04.2003
30318368,MUSHGROCO SRL,4661,"JUD. MUREŞ, SAT ERNEI COM. ERNEI, ERNEI, NR.459, BIROU .3",0740339332,INREGISTRAT din data 14.06.2012
31776444,MUSSON MACHINERY SRL,4661,"JUD. ARGEŞ, MUN. PITEŞTI, STR. DEPOZITELOR, NR.27, CLADIREA C2 PARTER",0348426142,TRANSFER(SOSIRE) din data 08.02.2016
44665065,MÂNDRU TRADING S.R.L.,4661,"JUD. NEAMŢ, SAT BROŞTENI COM. BAHNA, STR. PRINCIPALĂ, NR.75",,INREGISTRAT din data 29.07.2021
30248262,MÎRZA NICOLETA  ÎNTREPRINDERE INDIVIDUALĂ,4661,"JUD. GALAŢI, MUN. TECUCI, STR. TECUCIUL NOU, NR.25",0764199075,INREGISTRAT din data 28.05.2012
25324711,N & N PAUN COM AGRO S.R.L.,4661,"JUD. CĂLĂRAŞI, MUN. CĂLĂRAŞI, STR. ZĂVOIULUI, BL.C4, ET.1, AP.5",0721299356,INREGISTRAT din data 20.03.2009
26741962,NAANDANJAIN IRRIGATION PROJECTS SRL,4661,"JUD. ILFOV, ORŞ. BRAGADIRU, ŞOS. ALEXANDRIEI, NR.163-165",0758550003,TRANSFER(SOSIRE) din data 04.03.2011
26467400,NATALAG SRL,4661,"JUD. CLUJ, MUN. TURDA, STR. VIILOR, NR.37, CORP 1",0745173839,INREGISTRAT din data 02.02.2010
18862904,NATALIA STAR S.R.L.,4661,"JUD. TELEORMAN, MUN. ALEXANDRIA, STR. DUNARII, BL.BM2F, SC.C, ET.10, AP.38",,SUSPENDARE ACTIVITATE din data 01.04.2010
35756695,NATURAL LAND WORKS SRL,4661,"JUD. HARGHITA, ORŞ. CRISTURU SECUIESC, STR. ADY ENDRE, NR.18",0740701793,INREGISTRAT din data 04.03.2016
33968225,NDA SMART TEAM AG SRL,4661,"JUD. ARGEŞ, SAT ARGEŞELU COM. MĂRĂCINENI, ARGEŞELU, NR.512",0743010401,INREGISTRAT din data 14.01.2015
6436921,NEANDERCOM SRL,4661,"JUD. BISTRIŢA-NĂSĂUD, MUN. BISTRIŢA, STR. FLORILOR, NR.1, BL.1, SC.B, AP.68",63221392,RELUARE ACTIVITATE din data 22.09.2010
50780409,NEC BUSINESS S.R.L.,4661,"JUD. BISTRIŢA-NĂSĂUD, SAT DOBRICEL COM. SPERMEZEU, NR.113",0734359969,INREGISTRAT din data 28.10.2024
15242231,NECOPROFAM SRL,4661,"JUD. VASLUI, MUN. BÂRLAD, STR. CRÂNGULUI, NR.32",0744320561,INREGISTRAT din data 25.02.2003
14848389,NEK INDUSTRI SRL,4661,"JUD. SUCEAVA, SAT ŞCHEIA COM. ŞCHEIA,  STR. HUMORULUI, NR.47",0230512233,INREGISTRAT din data 29.08.2002
45983792,NEL TRACTOR S.R.L.,4661,"JUD. VÂLCEA, SAT SUTEŞTI COM. SUTEŞTI, SUTEŞTI, NR.223",,INREGISTRAT din data 18.04.2022
48765504,NEW RIVER PRO S.R.L.,4661,"JUD. CLUJ, SAT JUCU DE SUS COM. JUCU, STR. PAROHIEI, NR.17",,INREGISTRAT din data 12.09.2023
11946536,NHR AGROPARTNERS SRL,4661,"JUD. ILFOV, SAT OTOPENI ORŞ. OTOPENI, CALEA BUCURESTILOR, NR.247",0728977992,INREGISTRAT din data 10.08.2000
38573560,NIBO AGRO MOTOR S.R.L.,4661,"JUD. BIHOR, SAT HIDIŞEL COM. DOBREŞTI, HIDIŞEL, NR.181",0745565685,INREGISTRAT din data 07.12.2017
36425266,NIBO AGRO UTILAJE SRL,4661,"JUD. BIHOR, SAT DUŞEŞTI COM. CEICA, DUŞEŞTI, NR.4",0758458266,INREGISTRAT din data 16.08.2016
8854572,NIC & M IMPEX SRL,2830,"JUD. SIBIU, SAT CRISTIAN COM. CRISTIAN, STR. VIII, NR.34 A",0742072807,INREGISTRAT din data 04.10.1996
29981714,NICOLAIDA PRO SOLUTION S.R.L.,4661,"JUD. NEAMŢ, SAT MIRON COSTIN COM. TRIFEŞTI",0724241099,INREGISTRAT din data 27.03.2012
35580202,NIDA-TUDORA S.R.L.,4661,"JUD. DÂMBOVIŢA, MUN. TÂRGOVIŞTE, BLD. TUDOR VLADIMIRESCU, NR.55",0721536174,INREGISTRAT din data 03.02.2016
42955011,NIMATEC EXPERT S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR. AV. JEAN TEXIER, NR.3, CAMERA 12, ET.4, AP.5",,TRANSFER(SOSIRE) din data 23.03.2023
7871966,NIOLIS COM SRL,4661,"JUD. DOLJ, MUN. CRAIOVA, STR. CONSTANTIN BRÂNCOVEANU, NR.38, BL.35A, SC.1, AP.12",0743011375,INREGISTRAT din data 14.11.1995
41225701,NKL VIRMIH TRACTORS S.R.L.,4661,"JUD. DOLJ, SAT LEU COM. LEU, NR.546",,INREGISTRAT din data 05.06.2019
36316676,NOBAU COM 2016 SRL,4661,"JUD. BRAŞOV, MUN. FĂGĂRAŞ, STR. VASILE ALECSANDRI, BIROUL 2, BL.8, SC.A, AP.6",0762620233,SUSPENDARE ACTIVITATE din data 18.12.2017
33273430,NOR TEHNIK S.R.L.,4661,"JUD. CLUJ, SAT VLAHA COM. SĂVĂDISLA, VLAHA, NR.346",0741312302,INREGISTRAT din data 13.06.2014
15430774,NORDEX SRL,4661,"JUD. MARAMUREŞ, ORŞ. BAIA SPRIE, STR. PLEVNEI, NR.17L",0262211377,INREGISTRAT din data 14.05.2003
46758586,NOVAG AGRO REGENERATIV S.R.L.,4661,"JUD. TIMIŞ, SAT LIEBLING COM. LIEBLING, NR.832, CAMERA 6",0766586761,INREGISTRAT din data 31.08.2022
2983233,NOVUS SRL,2830,"JUD. CONSTANŢA, MUN. CONSTANŢA, BLD. AUREL VLAICU, NR.123",+40341456669,INREGISTRAT din data 02.02.1993
42755501,NWARA MH IMPORT-EXPORT S.R.L.,4661,"JUD. CONSTANŢA, MUN. CONSTANŢA, STR. MERCUR, NR.13",,INREGISTRAT din data 09.07.2020
39912126,NYRNA S.B.S. S.R.L.,4661,"JUD. COVASNA, SAT BODOC COM. BODOC, BODOC, NR.291/C",0747142891,INREGISTRAT din data 25.09.2018
18249480,O-MAC DISTRIBUTION 2005 S.R.L.,4661,"JUD. ARGEŞ, MUN. PITEŞTI, STR. DEPOZITELOR, NR.27, AP.CAM. 41",211377,INREGISTRAT din data 23.12.2005
28910499,O-MAC EDITRANSCOR S.R.L.,4661,"JUD. OLT, SAT PETCULEŞTI COM. GRĂDINARI, STR. DECEBAL, NR.28, CAMERA NR. 1",,INREGISTRAT din data 25.07.2011
16457220,O-MAC PADURE & GRADINA S.R.L.,4661,"JUD. ARGEŞ, MUN. PITEŞTI, STR. DEPOZITELOR, NR.27",,INREGISTRAT din data 26.05.2004
40464093,ODVEREMEAN DANIEL NICOLAE ÎNTREPRINDERE INDIVIDUALĂ,4661,"JUD. ALBA, MUN. ALBA IULIA, STR. CALEA MOŢILOR, NR.114B, SC.A, ET.5, AP.17",,INREGISTRAT din data 21.01.2019
51588968,ONE STETA GROUP S.R.L.,4661,"JUD. BRĂILA, MUN. BRĂILA, STR. NEGRU VODĂ, NR.15",0755654097,INREGISTRAT din data 07.04.2025
6978434,ONO - VAL SRL,4661,"JUD. TULCEA, MUN. TULCEA, STR. ISACCEI, NR.58",0240536123,INREGISTRAT din data 17.02.1995
28132540,ONOMEUS SRL,4661,"JUD. VASLUI, MUN. VASLUI, STR. TRAIAN, BL.279, SC.A, ET.6, AP.18",0746419786,INREGISTRAT din data 04.03.2011
16814013,OPTIMIT HIDRAULIC SRL,4661,"JUD. BIHOR, MUN. ORADEA, STR. OGORULUI, NR.65F",0259467594,INREGISTRAT din data 04.10.2004
44893144,OROS GROUP COMPLEX S.R.L.,4661,"JUD. MARAMUREŞ, ORŞ. ULMENI, STR. TRENULUI, NR.2",0757975924,INREGISTRAT din data 13.09.2021
30650501,OSIDIO GROUP SRL,4661,"JUD. BRĂILA, MUN. BRĂILA, CAL. CĂLĂRAŞILOR, NR.305, CAMERA 1, BL.B1BIS, SC.2, ET.5, AP.43",0762664339,INREGISTRAT din data 11.09.2012
46758284,OSSYMY LINE FOR IMPORT EXPORT S.R.L.,4661,"JUD. CONSTANŢA, MUN. CONSTANŢA, BLD. TOMIS, NR.217, 10 M.P., BL.TS10, SC.A, ET.2, AP.12",,INREGISTRAT din data 31.08.2022
32851978,OSTAFI MARINELA ÎNTREPRINDERE INDIVIDUALĂ,4661,"JUD. BOTOŞANI, MUN. DOROHOI, STR. CRONICAR ION NECULCE, NR.4A",0744114031,INREGISTRAT din data 27.02.2014
49526394,OTIG HOLDING S.R.L.,4661,"JUD. TULCEA, MUN. TULCEA, STR. SLT. GAVRILOV CORNELIU, NR.152, BIROUL NR.7",+37360845767,INREGISTRAT din data 05.02.2024
38332287,P.W.R.SSB SRL,4661,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. MARTIR VASILE BALMUŞ, NR.12, BL.44, SC.E, AP.2",0721271105,INREGISTRAT din data 10.10.2017
7966438,PACT IMPEX 2001 SRL,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 6, STR. DEZROBIRII, NR.46, BL.P14, SC.B, ET.3, AP.23",0722587874,INREGISTRAT din data 07.12.1995
46795517,PALMEX AGRO S.R.L.,4661,"JUD. GALAŢI, MUN. GALAŢI, CAL. PRUTULUI, NR.11, CLĂDIREA C7",,INREGISTRAT din data 07.09.2022
35042971,PALMEX INTERGRUP SRL,4661,"JUD. GALAŢI, MUN. GALAŢI, STR. DOMNEASCĂ, NR.40, CAMERA 1, BL.5U1, SC.1, ET.1, AP.1",,INREGISTRAT din data 24.09.2015
50353092,PAN-ASIAN S.R.L.,4661,"JUD. VASLUI, MUN. VASLUI, STR. ŞTEFAN CEL MARE, BL.316, SC.B, ET.4, AP.14",0740153285,INREGISTRAT din data 11.07.2024
26271674,PANAGROTEH SERVICE SRL,4661,"JUD. BIHOR, SAT BIHARIA COM. BIHARIA, STR. CETĂŢII, NR.91A",0747119101,INREGISTRAT din data 27.11.2009
5705916,PANONIA SRL,4661,"JUD. SATU MARE, MUN. CAREI, STR. MIHAI VITEAZUL, NR.49",0261861688,SUSPENDARE ACTIVITATE din data 22.11.2021
17625217,PAPA ZULU S.R.L.,4661,"JUD. BIHOR, MUN. ORADEA, SPL. CRIŞANEI, NR.7, BL.B 3, SC.B, AP.31",,SUSPENDARE ACTIVITATE din data 25.04.2009
24634749,PASS-ARY COMPANY S.R.L.,4661,"JUD. CONSTANŢA, MUN. CONSTANŢA, STR. SOVEJA, NR.104, BL.44, SC.B, AP.21",,RELUARE ACTIVITATE din data 25.08.2011
17903658,PASTIL S.R.L.,4661,"JUD. BUZĂU, SAT VÂLCELE COM. ULMENI",0238513005,INREGISTRAT din data 26.08.2005
42065650,PAUL TRACTORS S.R.L.,4661,"JUD. MUREŞ, SAT NAZNA COM. SÂNCRAIU DE MUREŞ, STR. PRINCIPALĂ, NR.154",0748039789,INREGISTRAT din data 30.12.2019
40280090,PB AGRAR MACHINE S.R.L.,4661,"JUD. BIHOR, MUN. ORADEA, STR. PRIMĂRIEI, NR.45, AP.2",0036205259999,INREGISTRAT din data 10.12.2018
25540685,PEDROGROUP AGRO S.R.L.,4661,"JUD. MUREŞ, MUN. TÂRGU MUREŞ, BLD. 1 DECEMBRIE 1918, NR.208, AP.4",0744643530,RELUARE ACTIVITATE din data 29.06.2012
52416367,PEEKAA INT S.R.L.,2830,"JUD. ALBA, MUN. ALBA IULIA, STR. MIHAIL KOGĂLNICEANU, NR.29, SC.B, AP.24",+40729137420,INREGISTRAT din data 01.09.2025
11249253,PERA ANDRU SOCIETATE IN NUME COLECTIV,2830,"JUD. SUCEAVA, SAT VATRA MOLDOVIŢEI COM. VATRA MOLDOVIŢEI, COMUNA VATRA MOLDOVITEI, NR.394",,SUSPENDARE ACTIVITATE din data 12.06.2009
30864491,PERELLI ANGELO PERSOANĂ FIZICĂ AUTORIZATĂ,4661,"JUD. SIBIU, MUN. SIBIU, STR. MORILOR, NR.17B",0744501162,INREGISTRAT din data 02.11.2012
33391509,PETRAN ADRIAN-VASILE ÎNTREPRINDERE INDIVIDUALĂ,4661,"JUD. MARAMUREŞ, MUN. BAIA MARE, STR. RAPSODIEI, NR.1, AP.15",,INREGISTRAT din data 16.07.2014
28431704,PIESE AGRITERRA S.R.L.,4661,"JUD. SIBIU, SAT AŢEL COM. AŢEL,  , NR.498B",,INREGISTRAT din data 04.05.2011
36442500,PIESE AGRO CABA SRL,4661,"JUD. BIHOR, SAT CORNIŢEL COM. BOROD, CORNIŢEL, NR.106",0259424144,INREGISTRAT din data 22.08.2016
42394393,PIESE AGROANTAND S.R.L.,4661,"JUD. SĂLAJ, SAT VÂRŞOLŢ COM. VÂRŞOLŢ, VÎRŞOLŢ, NR.289/B",,INREGISTRAT din data 11.03.2020
44895528,PIRAMID AGROTECH S.R.L.,4661,"JUD. SIBIU, SAT POIANA SIBIULUI COM. POIANA SIBIULUI, NR.389",0744233139,INREGISTRAT din data 14.09.2021
15240958,PLANEO TRADING SRL,4661,"JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. PARIS, NR.49, AP.4",0264453341,INREGISTRAT din data 25.02.2003
43559120,POCOLCRIS S.R.L.,4661,"JUD. MARAMUREŞ, MUN. BAIA MARE, STR. MIRON COSTIN, NR.20E",,INREGISTRAT din data 15.01.2021
10294175,POLARIS GROUP COMPANY SRL,4661,"JUD. TELEORMAN, ORŞ. ZIMNICEA,  D.N 5C",0247367032,INREGISTRAT din data 10.03.1998
42237313,POLITECARTES S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 5, CALEA 13 SEPTEMBRIE, NR.106, BL.50, ET.3, AP.9",,TRANSFER(SOSIRE) din data 05.03.2020
37095824,POLROM AGRODEAL S.R.L.,4661,"JUD. DÂMBOVIŢA, SAT LUNGULEŢU COM. LUNGULEŢU, STR. SEMICERCULUI, NR.39",,INREGISTRAT din data 23.02.2017
38833156,POP G. IOAN OVIDIU ÎNTREPRINDERE INDIVIDUALĂ,4661,"JUD. ALBA, MUN. ALBA IULIA, STR. ANGHEL SALIGNY, NR.2, BL.2B, AP.20",,INREGISTRAT din data 09.02.2018
45822109,POP NIC AGRI S.R.L.,4661,"JUD. CLUJ, MUN. TURDA, STR. ECATERINA TEODOROIU, NR.25, AP.3",0753991282,INREGISTRAT din data 18.03.2022
48679322,POWER FARM EQUIPMENT S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR AVIATOR PETRE CREȚU , NR.71, ET.P",+40756130137,TRANSFER(SOSIRE) din data 27.08.2025
18968272,POWER-LIFT SRL,4661,"JUD. TIMIŞ, SAT PECIU NOU COM. PECIU NOU,  , NR.402/1",0728522254,INREGISTRAT din data 28.08.2006
32828444,POWERGROUP MACHINERY S.R.L.,4661,"JUD. IALOMIŢA, MUN. SLOBOZIA, BLD. MATEI BASARAB, NR.48, BL.A2, SC.A, ET.3, AP.8",0735167997,SUSPENDARE ACTIVITATE din data 18.12.2024
14523557,PREMETA S.R.L.,2830,"JUD. TELEORMAN, MUN. ALEXANDRIA, STR. DUNĂRII, NR.220, BL.BM8, SC.A, AP.PARTER",,INREGISTRAT din data 18.03.2002
5772869,PRESINT COM SRL,4661,"JUD. BRĂILA, SAT CAZASU COM. CAZASU, STR. TOPORAŞILOR, NR.12",0239675146,INREGISTRAT din data 14.06.1994
28239068,PRIME AGRICULTURE SRL,4661,"JUD. PRAHOVA, SAT PLEAŞA COM. BUCOV, G PLEAŞA, NR.187",0799863804,INREGISTRAT din data 24.03.2011
18811978,PRIMOG-TRAC SRL,4661,"JUD. BRAŞOV, MUN. BRAŞOV, STR. HĂRMANULUI, NR.17C, BL.213A, SC.B, AP.2, CAM. 2",0722733322,RELUARE ACTIVITATE din data 11.11.2015
46318429,PRISACA NOUA S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 6, STR PLEŞULUI, NR.15",,INREGISTRAT din data 17.06.2022
15588767,PRO - TOOL SRL,4661,"JUD. ARAD, SAT TURNU ORŞ. PECICA,  , NR.222",0257256359,INREGISTRAT din data 14.07.2003
49055653,PRO TOOLS HD 2023 S.R.L.,4661,"JUD. HUNEDOARA, MUN. HUNEDOARA, BLD. CORVIN, NR.12, BL.A4-2, SC.A, ET.3, AP.14",0757098818,INREGISTRAT din data 02.11.2023
36164780,PRO-AGRAR CONCEPT SRL,4661,"JUD. VASLUI, MUN. BÂRLAD, STR. GENERAL MAGHERU, NR.5, BL.C5, SC.A, ET.1, AP.6",0742339870,INREGISTRAT din data 03.06.2016
42502606,PROAGRO DIVIZIA IMPLEMENTE S.R.L.,4661,"JUD. BRAŞOV, SAT PEŞTERA COM. MOIECIU, PEŞTERA, NR.197",0746614240,INREGISTRAT din data 14.05.2020
32843878,PRODAGRO ROTITA SRL,4661,"JUD. NEAMŢ, MUN. PIATRA NEAMŢ, STR. MIHAI VITEAZUL, NR.26, BL.G12, SC.A, ET.2, AP.12",0720030357,INREGISTRAT din data 26.02.2014
30110510,PROFESIONAL UTILAJ SRL,4661,"JUD. IAŞI, MUN. IAŞI, STR. VLĂDICENI, NR.5, CAMERA 2, BL.V3, SC.A, ET.1, AP.1",0740254876,INREGISTRAT din data 24.04.2012
25664810,PROFI AGRO CENTER SRL,4661,"JUD. CLUJ, SAT BONŢIDA COM. BONŢIDA, STR. GĂRII, NR.8A",0264442339,INREGISTRAT din data 12.06.2009
45460386,PROGRES AGRO OCASSION S.R.L.,4661,"JUD. MUREŞ, SAT CRĂIEŞTI COM. CRĂIEŞTI, CRĂIEŞTI, NR.158",,INREGISTRAT din data 12.01.2022
13772169,PROGRESUL MESA SRL,2830,"JUD. BIHOR, MUN. SALONTA, STR. GESTULUI, NR.5A",0259373171,INREGISTRAT din data 16.03.2001
7679503,PROINVEST SRL,4661,"JUD. TELEORMAN, MUN. ALEXANDRIA, STR. PODUL VECHI, NR.3, C1, ET.1",421072,INREGISTRAT din data 06.09.1995
4612290,PROMPT S.R.L.,4661,"JUD. HARGHITA, MUN. MIERCUREA CIUC, STR. BÁNYA, NR.12",0266312859,INREGISTRAT din data 07.09.1993
34942673,PRORUN EUROPE CORPORATION SRL,4661,"JUD. ARGEŞ, MUN. PITEŞTI, STR. DEPOZITELOR, NR.27, CAMERA 23",,INREGISTRAT din data 28.08.2015
50890436,PROTEH-AGRO RO SOCIETATE CU RASPUNDERE LIMITATĂ,4661,"JUD. IAŞI, MUN. IAŞI, ALEEA BAŞOTĂ, NR.6, BIROURI 2. DEMISOL",0742288454,INREGISTRAT din data 15.11.2024
18729461,PROUTIL SRL,4661,"JUD. BIHOR, MUN. ORADEA, STR. K. NAGY SÁNDOR, NR.63A",0259439999,INREGISTRAT din data 02.06.2006
44613791,PROVIDE AGRI S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 6, DRUMUL VALEA CRICOVULUI, NR.13-19, CORP A, SC.1, ET.4, AP.19",,INREGISTRAT din data 20.07.2021
2215642,PROXIMA SRL,4661,"JUD. MARAMUREŞ, MUN. SIGHETU MARMAŢIEI, STR. MIHAIL KOGĂLNICEANU, NR.37",0262313304,INREGISTRAT din data 29.11.1992
36736777,QUIVOGNE AGROROM SRL,4661,"JUD. ARAD, MUN. ARAD, DRM. DJ 709 B ARAD-CURTICI, KM 6+500M",,INREGISTRAT din data 11.11.2016
46434172,R&G META ITALY COMPANY S.R.L.,4661,"JUD. BIHOR, SAT VĂRĂŞENI COM. RĂBĂGANI, VĂRĂŞENI, NR.5",+393277173281,INREGISTRAT din data 07.07.2022
47947184,RACZI EPITKEZES S.R.L.,4661,"JUD. MUREŞ, ORŞ. SÂNGEORGIU DE PĂDURE, STR. PETÖFI SANDOR, NR.43",0758071455,INREGISTRAT din data 05.04.2023
8861235,RAD AGRIEXPERT S.R.L.,4661,"JUD. IALOMIŢA, MUN. SLOBOZIA, STR. MATEI BASARAB, NR.25, BL.D6, SC.C, ET.2, AP.43",0243215704,RELUARE ACTIVITATE din data 08.03.2016
16097571,RADORO BASAROM COM S.R.L.,4661,"JUD. ILFOV, SAT BRAGADIRU ORŞ. BRAGADIRU, ŞOS. ALEXANDRIEI, NR.22A",0723385747,TRANSFER(SOSIRE) din data 03.02.2020
27799245,RADU FLORIN-RAOUL PERSOANĂ FIZICĂ AUTORIZATĂ,4661,"JUD. MARAMUREŞ, MUN. BAIA MARE, BLD. REPUBLICII, NR.50, AP.4",0362417808,INREGISTRAT din data 10.12.2010
30948622,RAFSO SRL,4661,"JUD. GALAŢI, SAT BUCEŞTI COM. IVEŞTI, STR. PHOENIX, NR.1",0742780573,INREGISTRAT din data 26.11.2012
19132703,RALCOM SERV SRL,4661,"JUD. SIBIU, SAT VEŞTEM COM. ŞELIMBĂR,  , NR.212D, CAMERA 2",,INREGISTRAT din data 24.10.2006
38794464,RALUK SISTEM COM S.R.L.,4661,"JUD. BACĂU, MUN. MOINEŞTI, STR. COSTACHE NEGRI, BL.1, AP.22",,INREGISTRAT din data 02.02.2018
2721810,RAPIDEX S.R.L.,4661,"JUD. BIHOR, MUN. ORADEA, STR. GEN. GHEORGHE MAGHERU, NR.2, BL.M2, AP.13",0744575327,INREGISTRAT din data 19.01.1993
2721810,RAPIDEX S.R.L.,4661,"JUD. BIHOR, MUN. ORADEA, STR. GEN. GHEORGHE MAGHERU, NR.2, BL.M2, AP.13",0744575327,INREGISTRAT din data 19.01.1993
43449608,REAL DEAL RD S.R.L.,4661,"JUD. TIMIŞ, SAT BUCOVĂŢ COM. BUCOVĂŢ, NR.381",0729802379,INREGISTRAT din data 14.12.2020
18229032,RED IMOBILIARE SRL,4661,"JUD. HARGHITA, SAT SATU MARE COM. SATU MARE,  , NR.196A",0743834640,INREGISTRAT din data 16.12.2005
